,display,expanded,url
0,twitter.com/ponchohd/statu…,https://twitter.com/ponchohd/status/1311843418709073922,https://t.co/CJ2b5ttjc9
1,twitter.com/PhilippeReines…,https://twitter.com/PhilippeReines/status/1312227412197990400,https://t.co/26wwpmNFYb
2,twitter.com/MayaGoodfellow…,https://twitter.com/MayaGoodfellow/status/1312760117373423617,https://t.co/FIHzx07zRj
3,twitter.com/hoshanghasan1/…,https://twitter.com/hoshanghasan1/status/1312842830889578497,https://t.co/DZzNediVq3
